,budget,country,genre,gross,rating,score,votes,ROI,star_names,studio_names
184,80000000.0,USA,Action,180981856.0,PG,7.1,324328,1,Not-Famous,Low-Studio
185,10000000.0,USA,Others,110359362.0,PG,5.9,123611,1,Not-Famous,Low-Studio
186,50000000.0,USA,Comedy,150357137.0,PG,6.1,73185,1,Not-Famous,Low-Studio
187,8000000.0,USA,Others,107928762.0,R,8.9,1463682,1,Not-Famous,Low-Studio
188,33000000.0,USA,Comedy,132716677.0,PG,5.6,31498,1,Not-Famous,Low-Studio
189,35000000.0,USA,Comedy,134506920.0,R,5.7,105435,1,Not-Famous,Low-Studio
190,7500000.0,USA,Drama,106593296.0,PG,7.4,79819,1,Not-Famous,Low-Studio
191,5000000.0,USA,Others,104007828.0,R,5.8,81205,1,Not-Famous,Low-Studio
192,150000000.0,USA,Others,248757044.0,PG,7.6,158058,1,Not-Famous,Low-Studio
193,40000000.0,USA,Comedy,138614544.0,PG,5.8,80959,1,Not-Famous,Low-Studio
194,50000000.0,USA,Comedy,148478011.0,PG,7.7,239096,1,Not-Famous,Low-Studio
195,85000000.0,USA,Others,183405771.0,PG,7.8,436503,1,Not-Famous,Low-Studio
196,100000000.0,USA,Others,198000317.0,PG,6.5,144845,1,Not-Famous,Low-Studio
197,27000000.0,USA,Comedy,124033791.0,PG,6.7,41585,1,Not-Famous,Low-Studio
198,18000000.0,USA,Comedy,114968774.0,PG,7.3,164986,1,Not-Famous,Low-Studio
199,25000000.0,USA,Action,121945720.0,R,6.2,98150,1,Not-Famous,Low-Studio
200,15000000.0,USA,Comedy,111936400.0,PG,6.0,94679,1,Not-Famous,Low-Studio
201,42000000.0,USA,Action,138447667.0,R,7.2,443633,1,Not-Famous,Low-Studio
202,14000000.0,non-USA,Action,109305000.0,PG,5.5,46922,1,Not-Famous,Low-Studio
203,30000000.0,USA,Drama,125014030.0,PG,6.8,160428,1,Not-Famous,Low-Studio
204,45000000.0,non-USA,Action,139854287.0,PG,6.3,255708,1,Not-Famous,Low-Studio
205,13000000.0,USA,Drama,106954678.0,R,8.0,596535,1,Not-Famous,Low-Studio
206,20000000.0,USA,Comedy,113257297.0,R,6.2,76488,1,Not-Famous,Low-Studio
207,31000000.0,USA,Comedy,124060553.0,R,7.0,66797,1,Not-Famous,Low-Studio
208,125000000.0,USA,Others,217536138.0,PG,6.6,346532,1,Not-Famous,Low-Studio
209,30000000.0,USA,Action,122012643.0,PG,7.6,153111,1,Not-Famous,Low-Studio
210,11000000.0,USA,Comedy,102561004.0,R,7.0,333304,1,Not-Famous,Low-Studio
211,44500000.0,USA,Others,136025503.0,R,7.7,493698,1,Not-Famous,Low-Studio
212,30000000.0,USA,Action,121248145.0,R,7.2,280428,1,Not-Famous,Low-Studio
213,125000000.0,USA,Action,215409889.0,PG,6.1,261626,1,Not-Famous,Low-Studio
214,130000000.0,USA,Action,219964115.0,PG,6.5,193926,1,Not-Famous,Low-Studio
215,35000000.0,USA,Comedy,124740460.0,PG,6.8,309435,1,Not-Famous,Low-Studio
216,80000000.0,USA,Others,169700110.0,PG,6.7,73691,1,Not-Famous,Low-Studio
217,39000000.0,USA,Comedy,128152300.0,R,7.0,130888,1,Not-Famous,Low-Studio
218,14000000.0,USA,Others,103046663.0,R,7.2,239658,1,Not-Famous,Low-Studio
219,74000000.0,USA,Others,162994032.0,PG,6.0,38799,1,Not-Famous,Low-Studio
220,93000000.0,USA,Action,181171875.0,PG,5.9,240832,1,Not-Famous,Low-Studio
221,85000000.0,USA,Action,172956409.0,R,6.5,156179,1,Not-Famous,Low-Studio
222,61000000.0,non-USA,Drama,148809770.0,PG,7.6,263265,1,Not-Famous,Low-Studio
223,65000000.0,USA,Comedy,152647258.0,R,5.5,104574,1,Not-Famous,Low-Studio
224,30000000.0,USA,Action,117559438.0,PG,5.1,71461,1,Not-Famous,Low-Studio
225,15000000.0,USA,Comedy,102003019.0,R,6.5,82024,1,Not-Famous,Low-Studio
226,14400000.0,USA,Drama,101157447.0,R,8.2,305796,1,Not-Famous,Low-Studio
227,40000000.0,non-USA,Action,126663600.0,R,6.4,364718,1,Not-Famous,Low-Studio
228,30000000.0,USA,Others,116632095.0,PG,7.2,95203,1,Not-Famous,Low-Studio
229,55000000.0,USA,Others,141600000.0,PG,6.7,134356,1,Not-Famous,Low-Studio
230,70000000.0,USA,Others,156452370.0,PG,7.7,154004,1,Not-Famous,Low-Studio
231,75000000.0,USA,Others,160861908.0,PG,6.0,142881,1,Not-Famous,Low-Studio
232,30000000.0,non-USA,Others,115646235.0,R,8.0,569238,1,Not-Famous,Low-Studio
233,130000000.0,USA,Others,215434591.0,PG,7.6,340207,1,Not-Famous,Low-Studio
234,40000000.0,USA,Action,125095601.0,R,7.5,225586,1,Not-Famous,Low-Studio
235,25000000.0,USA,Others,109713132.0,PG,7.3,66614,1,Not-Famous,Low-Studio
236,103000000.0,USA,Action,187705427.0,R,8.5,1086271,1,Not-Famous,Low-Studio
237,46000000.0,USA,Comedy,130512915.0,PG,4.8,64805,1,Not-Famous,Low-Studio
238,11000000.0,USA,Comedy,95318203.0,PG,5.7,36553,1,Not-Famous,Low-Studio
239,93000000.0,USA,Action,176760185.0,PG,7.6,440728,1,Not-Famous,Low-Studio
240,30000000.0,USA,Comedy,113502000.0,PG,6.8,104849,1,Not-Famous,Low-Studio
241,26000000.0,USA,Comedy,109449237.0,R,7.1,335523,1,Not-Famous,Low-Studio
242,60000000.0,USA,Comedy,143153751.0,PG,7.1,126238,1,Not-Famous,Low-Studio
243,4000000.0,USA,Others,87039965.0,R,6.6,201716,1,Not-Famous,Low-Studio
244,80000000.0,USA,Action,162831698.0,PG,7.0,232816,1,Not-Famous,Low-Studio
245,19000000.0,USA,Drama,101599005.0,R,6.2,40591,1,Not-Famous,Low-Studio
246,35000000.0,USA,Comedy,117538559.0,R,6.9,376758,1,Not-Famous,Low-Studio
247,75000000.0,USA,Action,157299717.0,PG,7.4,495306,1,Not-Famous,Low-Studio
248,70000000.0,USA,Comedy,152257509.0,PG,5.5,80259,1,Not-Famous,Low-Studio
249,80000000.0,USA,Comedy,162001186.0,PG,6.0,195059,1,Not-Famous,Low-Studio
250,3000000.0,USA,Others,84752907.0,R,5.7,87623,1,Not-Famous,Low-Studio
251,48000000.0,USA,Others,129128133.0,PG,7.1,276645,1,Not-Famous,Low-Studio
252,46000000.0,USA,Comedy,127120029.0,PG,6.3,106665,1,Not-Famous,Low-Studio
253,250000000.0,USA,Action,330360194.0,PG,6.6,499132,1,Not-Famous,Low-Studio
254,20000000.0,USA,Comedy,100292856.0,R,5.7,170516,1,Not-Famous,Low-Studio
